book_id,genres
1,"['young-adult', 'fiction', 'fantasy', 'science-fiction', 'romance']"
2,"['fantasy', 'fiction', 'young-adult', 'classics']"
3,"['young-adult', 'fantasy', 'romance', 'fiction', 'paranormal']"
4,"['classics', 'fiction', 'historical-fiction', 'young-adult']"
5,"['classics', 'fiction', 'historical-fiction', 'romance']"
6,"['young-adult', 'romance', 'fiction', 'contemporary']"
7,"['fantasy', 'classics', 'fiction', 'young-adult']"
8,"['classics', 'fiction', 'young-adult']"
9,"['fiction', 'mystery', 'thriller', 'suspense', 'crime', 'historical-fiction']"
10,"['classics', 'fiction', 'romance', 'historical-fiction']"
11,"['fiction', 'historical-fiction', 'contemporary', 'classics']"
12,"['young-adult', 'fiction', 'fantasy', 'science-fiction', 'romance']"
15,"['nonfiction', 'classics', 'history', 'biography', 'memoir']"
16,"['fiction', 'mystery', 'suspense', 'contemporary', 'thriller', 'crime']"
17,"['young-adult', 'fiction', 'fantasy', 'science-fiction', 'romance']"
18,"['fantasy', 'young-adult', 'fiction', 'classics']"
20,"['young-adult', 'fiction', 'fantasy', 'science-fiction', 'romance']"
21,"['fantasy', 'young-adult', 'fiction', 'classics']"
22,"['fiction', 'mystery', 'young-adult', 'contemporary', 'fantasy', 'crime']"
23,"['fantasy', 'young-adult', 'fiction', 'classics']"
24,"['fantasy', 'young-adult', 'fiction', 'classics']"
25,"['fantasy', 'young-adult', 'fiction', 'classics']"
26,"['fiction', 'mystery', 'thriller', 'suspense', 'historical-fiction', 'crime']"
27,"['fantasy', 'young-adult', 'fiction', 'classics']"
28,"['classics', 'fiction', 'young-adult']"
29,"['classics', 'fiction', 'romance', 'poetry']"
30,"['fiction', 'mystery', 'thriller', 'crime', 'suspense', 'contemporary']"
31,"['fiction', 'historical-fiction', 'contemporary', 'classics', 'chick-lit']"
32,"['classics', 'fiction', 'historical-fiction']"
33,"['fiction', 'historical-fiction', 'romance', 'classics']"
34,"['romance', 'fiction', 'contemporary', 'chick-lit']"
36,"['young-adult', 'fiction', 'classics', 'science-fiction', 'fantasy']"
37,"['fantasy', 'classics', 'fiction', 'young-adult', 'christian']"
38,"['fiction', 'romance', 'fantasy', 'science-fiction', 'contemporary', 'chick-lit']"
39,"['fantasy', 'fiction']"
40,"['nonfiction', 'memoir', 'travel', 'biography', 'chick-lit', 'romance', 'spirituality', 'contemporary']"
41,"['fantasy', 'young-adult', 'fiction']"
42,"['classics', 'fiction', 'historical-fiction', 'young-adult', 'romance']"
43,"['classics', 'fiction', 'romance', 'historical-fiction']"
45,"['fiction', 'fantasy', 'classics', 'contemporary', 'philosophy']"
46,"['fiction', 'historical-fiction', 'romance', 'contemporary']"
47,"['historical-fiction', 'fiction', 'young-adult', 'classics']"
49,"['young-adult', 'fantasy', 'romance', 'fiction', 'paranormal']"
50,"['poetry', 'classics', 'fiction', 'young-adult', 'fantasy']"
51,"['fantasy', 'young-adult', 'paranormal', 'romance', 'fiction']"
52,"['young-adult', 'fantasy', 'romance', 'fiction', 'paranormal']"
53,"['fantasy', 'young-adult', 'fiction']"
54,"['science-fiction', 'fiction', 'fantasy', 'classics']"
55,"['classics', 'fiction', 'science-fiction', 'fantasy', 'philosophy']"
56,"['young-adult', 'fantasy', 'romance', 'fiction', 'paranormal']"
57,"['fiction', 'historical-fiction', 'young-adult', 'classics', 'contemporary', 'chick-lit']"
58,"['classics', 'fiction', 'historical-fiction', 'young-adult']"
59,"['classics', 'fiction', 'young-adult', 'fantasy']"
60,"['fiction', 'mystery', 'young-adult', 'contemporary', 'classics', 'psychology']"
61,"['fiction', 'mystery', 'thriller', 'crime', 'suspense', 'contemporary']"
62,"['fantasy', 'young-adult', 'fiction', 'science-fiction']"
63,"['classics', 'fiction', 'romance', 'historical-fiction']"
64,"['fiction', 'contemporary', 'chick-lit', 'young-adult']"
65,"['classics', 'fiction', 'science-fiction', 'historical-fiction', 'fantasy']"
66,"['classics', 'historical-fiction', 'fiction', 'romance']"
67,"['fiction', 'historical-fiction', 'contemporary']"
68,"['young-adult', 'fiction', 'contemporary', 'romance', 'classics']"
69,"['young-adult', 'fiction', 'fantasy', 'science-fiction', 'romance']"
70,"['science-fiction', 'fiction', 'young-adult', 'fantasy', 'classics']"
72,"['horror', 'fiction', 'thriller', 'classics', 'fantasy', 'mystery', 'paranormal', 'suspense']"
73,"['young-adult', 'science-fiction', 'fantasy', 'romance', 'fiction', 'paranormal']"
74,"['young-adult', 'fiction', 'contemporary', 'romance', 'mystery']"
75,"['fiction', 'chick-lit', 'romance', 'contemporary']"
76,"['classics', 'fiction', 'historical-fiction']"
77,"['young-adult', 'fiction', 'classics', 'mystery', 'contemporary']"
78,"['chick-lit', 'fiction', 'contemporary', 'romance']"
79,"['classics', 'fiction', 'poetry', 'fantasy', 'historical-fiction']"
80,"['classics', 'fiction', 'fantasy', 'young-adult', 'philosophy']"
81,"['nonfiction', 'memoir', 'biography', 'contemporary']"
82,"['nonfiction', 'biography', 'travel', 'classics', 'memoir']"
83,"['classics', 'fiction', 'historical-fiction']"
85,"['classics', 'fiction', 'poetry', 'young-adult', 'fantasy']"
86,"['fiction', 'mystery', 'thriller', 'crime', 'suspense']"
87,"['nonfiction', 'classics', 'history', 'memoir', 'biography']"
88,"['young-adult', 'contemporary', 'fiction', 'romance', 'mystery']"
89,"['fantasy', 'fiction', 'classics', 'romance', 'young-adult']"
90,"['classics', 'young-adult', 'fiction', 'historical-fiction', 'contemporary']"
91,"['young-adult', 'science-fiction', 'fiction', 'fantasy', 'mystery']"
92,"['nonfiction', 'business', 'science', 'psychology']"
93,"['classics', 'fiction', 'young-adult', 'historical-fiction', 'fantasy']"
94,"['fiction', 'classics', 'fantasy', 'historical-fiction']"
95,"['classics', 'fiction', 'horror', 'fantasy']"
96,"['romance', 'fiction', 'contemporary', 'chick-lit']"
97,"['classics', 'horror', 'fiction', 'fantasy', 'paranormal']"
98,"['fiction', 'mystery', 'thriller', 'crime', 'suspense', 'contemporary']"
99,"['romance', 'fiction', 'contemporary', 'chick-lit']"
100,"['fiction', 'historical-fiction', 'classics', 'religion']"
101,"['nonfiction', 'memoir', 'biography']"
102,"['fiction', 'classics', 'fantasy', 'young-adult']"
103,"['classics', 'fiction', 'historical-fiction', 'romance']"
104,"['fiction', 'science-fiction', 'classics', 'horror', 'contemporary']"
105,"['young-adult', 'fiction', 'science-fiction', 'fantasy', 'romance']"
106,"['nonfiction', 'memoir', 'biography']"
108,"['chick-lit', 'fiction', 'romance', 'contemporary', 'young-adult']"
109,"['classics', 'fiction', 'historical-fiction', 'romance']"
110,"['fantasy', 'fiction']"
111,"['fiction', 'contemporary', 'historical-fiction', 'chick-lit']"
