user_id,genres
1,"['fiction', 'historical-fiction', 'classics', 'contemporary', 'fantasy']"
2,"['classics', 'fiction', 'nonfiction', 'self-help', 'business']"
4,"['fiction', 'classics', 'young-adult', 'fantasy', 'historical-fiction']"
5,"['fiction', 'mystery', 'thriller', 'crime', 'suspense']"
6,"['nonfiction', 'fiction', 'biography', 'memoir', 'science']"
7,"['fiction', 'fantasy', 'science-fiction', 'classics', 'young-adult']"
8,"['classics', 'fiction', 'historical-fiction', 'philosophy', 'fantasy']"
9,"['fiction', 'classics', 'contemporary', 'fantasy', 'historical-fiction']"
10,"['fiction', 'contemporary', 'historical-fiction', 'classics', 'fantasy']"
11,"['fiction', 'classics', 'historical-fiction', 'contemporary', 'mystery']"
12,"['fiction', 'historical-fiction', 'mystery', 'classics', 'crime']"
13,"['fiction', 'contemporary', 'historical-fiction', 'mystery', 'thriller']"
14,"['fiction', 'fantasy', 'science-fiction', 'classics', 'contemporary']"
15,"['fiction', 'classics', 'fantasy', 'historical-fiction', 'contemporary']"
16,"['fiction', 'classics', 'historical-fiction', 'fantasy', 'philosophy']"
17,"['fiction', 'mystery', 'thriller', 'suspense', 'historical-fiction']"
18,"['fiction', 'classics', 'science-fiction', 'nonfiction', 'fantasy']"
19,"['fiction', 'classics', 'fantasy', 'historical-fiction', 'philosophy']"
20,"['fiction', 'contemporary', 'chick-lit', 'romance', 'mystery']"
21,"['classics', 'fiction', 'fantasy', 'young-adult']"
22,"['fiction', 'fantasy', 'thriller', 'horror', 'science-fiction']"
23,"['fiction', 'contemporary', 'romance', 'historical-fiction', 'young-adult']"
24,"['fiction', 'classics', 'historical-fiction', 'contemporary', 'romance']"
25,"['fiction', 'classics', 'fantasy', 'philosophy', 'poetry']"
26,"['fiction', 'classics', 'contemporary', 'historical-fiction', 'nonfiction']"
27,"['fiction', 'contemporary', 'fantasy', 'nonfiction', 'memoir']"
28,"['fiction', 'classics', 'contemporary', 'historical-fiction', 'young-adult']"
29,"['fiction', 'classics', 'fantasy', 'young-adult', 'historical-fiction']"
30,"['fiction', 'classics', 'fantasy', 'young-adult', 'historical-fiction']"
31,"['fiction', 'fantasy', 'classics', 'science-fiction', 'historical-fiction']"
32,"['fiction', 'classics', 'nonfiction', 'young-adult', 'fantasy']"
33,"['fiction', 'contemporary', 'mystery', 'thriller', 'crime']"
34,"['fiction', 'fantasy', 'classics', 'science-fiction', 'young-adult']"
35,"['fiction', 'classics', 'historical-fiction', 'romance', 'young-adult']"
36,"['fiction', 'fantasy', 'classics', 'historical-fiction', 'young-adult']"
37,"['fiction', 'fantasy', 'contemporary', 'historical-fiction', 'science-fiction']"
38,"['classics', 'fiction', 'fantasy']"
39,"['fiction', 'fantasy', 'science-fiction', 'classics']"
40,"['fiction', 'contemporary', 'nonfiction', 'classics', 'historical-fiction']"
41,"['fiction', 'fantasy', 'romance', 'young-adult', 'paranormal']"
42,"['classics', 'fiction', 'philosophy', 'contemporary']"
43,"['fiction', 'classics', 'nonfiction', 'historical-fiction', 'biography']"
44,"['fiction', 'historical-fiction', 'classics', 'contemporary', 'mystery']"
45,"['fiction', 'classics', 'contemporary', 'young-adult']"
